id,identificador,ubicacion,latitud,longitud,municipio_id,provincia_id,id_departamento,error
515,BUE036-02,Plaza San Martin,-34.346.056,-58.795.111,BUE036,AR-B,1230,'BUE036' is not in list
516,BUE036-03,Ing. Maschwitz,-34.372.778,-58.750.028,BUE036,AR-B,1230,'BUE036' is not in list
1313,CBA233-01,,0,0,CBA233,AR-X,1402,'CBA233' is not in list
611,CBA233-02,,-31.407.300,-65.046.167,CBA233,AR-X,1402,'CBA233' is not in list
952,BUE076-01,PD Magdalena,-35.080.095,-57.517.227,BUE076,AR-B,1271,'BUE076' is not in list
411,BUE076-02,Magdalena - Plaza Villa Garibaldi (Brenan 1450),-35.080.558,-57.517.227,BUE076,AR-B,1271,'BUE076' is not in list
412,BUE076-03,Magdalena - Plaza San Martin (esq. Rivadavia e Irigoyen),-35.080.558,-57.517.227,BUE076,AR-B,1271,'BUE076' is not in list
590,MIS013-01,,-27.460.861,-55.745.056,MIS013,AR-N,1538,'MIS013' is not in list
1141,CHU004-01,,0,0,CHU004,AR-U,1369,'CHU004' is not in list
659,CHU004-02,salon de usos multiples,-45.077.583,-69.460.972,CHU004,AR-U,1369,'CHU004' is not in list
706,MZA016-01,Santa Rosa-Las Catitas - Delegacion Municipal,-33.000.000,-68.000.000,MZA016,AR-M,1530,'MZA016' is not in list
386,MZA016-02,ESCUELA EL MARCADO   vsat Arsat,-33.109.987,-68.189.632,MZA016,AR-M,1530,'MZA016' is not in list
688,MZA016-03,C.I.C,-33.000.000,-68.000.000,MZA016,AR-M,1530,'MZA016' is not in list
720,JUJ042-01,Municipalidad,-24.271.806,-64.765.639,JUJ042,AR-Y,1461,'JUJ042' is not in list
936,JUJ042-02,Punto Digital,-24.245.788,-64.862.889,JUJ042,AR-Y,1461,'JUJ042' is not in list
237,BUE126-01,PD Trenque Lauquen,-35.964.382,-62.733.924,BUE126,AR-B,1321,'BUE126' is not in list
922,SJU016-01,Punto Digital Ullum,-31.471.888,-68.748.500,SJU016,AR-J,1594,'SJU016' is not in list
267,SJU016-02,Plaza Municipio,-31.000.000,-69.000.000,SJU016,AR-J,1594,'SJU016' is not in list
592,MIS063-01,Ruiz de Montoya - Municipalidad,-26.985.472,-55.048.972,MIS063,AR-N,1540,'MIS063' is not in list
1039,TUC112-01,Simoca,-27.200.000,-65.283.400,TUC112,AR-T,1652,'TUC112' is not in list
210,TUC112-02,Edificio Municipal,-26.812.394,-65.298.398,TUC112,AR-T,1652,'TUC112' is not in list
209,TUC112-03,Punto Digital,-26.795.523,-65.259.022,TUC112,AR-T,1652,'TUC112' is not in list
780,COR048-01,,-27.572.306,-58.695.278,COR048,AR-W,1419,'COR048' is not in list
336,COR048-02,Municipalidad,-27.581.917,-58.745.250,COR048,AR-W,1419,'COR048' is not in list
900,BUE083-01,Escuela No.7,-35.397.660,-58.811.580,BUE083,AR-B,1278,'BUE083' is not in list
901,BUE083-02,Escuela No.2,-35.694.910,-58.704.080,BUE083,AR-B,1278,'BUE083' is not in list
899,BUE083-03,Escuela No.12,-35.543.490,-58.667.660,BUE083,AR-B,1278,'BUE083' is not in list
1170,SFE227-01,,0,0,SFE227,AR-S,1694,'SFE227' is not in list
