municipio_id,provincia_id,id_departamento,municipio,provincia,departamento ,error
RNO071,AR-S,1700,Providencia,Santa Fe,Las Colonias,El formato del id de municipio no coincide con la provincia
BUE117,AR-Q,1553,Quili Malal,Neuquen,Picunches,El formato del id de municipio no coincide con la provincia
MZA014,AR-Z,1611,Los Antiguos,Santa Cruz,Lago Buenos Aires,El formato del id de municipio no coincide con la provincia
CBA315,AR-J,1585,Jachal,San Juan,Jachal,El formato del id de municipio no coincide con la provincia
BUE132,AR-J,1585,Jachal,San Juan,Jachal,El formato del id de municipio no coincide con la provincia
BUE082,AR-J,1585,Jachal,San Juan,Jachal,El formato del id de municipio no coincide con la provincia
NEU038,AR-X,1398,Villa del Rosario,Cordoba,Rio Segundo,El formato del id de municipio no coincide con la provincia
RNO033,AR-G,1634,Alhuampa,Santiago del Estero,Moreno,El formato del id de municipio no coincide con la provincia
BUE009,AR-X,1387,Colonia San Pedro,Cordoba,San Justo,El formato del id de municipio no coincide con la provincia
ERI016,AR-Z,1609,El Chalten,Santa Cruz,Lago Argentino,El formato del id de municipio no coincide con la provincia
MIS031,AR-Z,1609,El Chalten,Santa Cruz,Lago Argentino,El formato del id de municipio no coincide con la provincia
ERI027,AR-W,1412,Ita Ibate,Corrientes,General Paz,El formato del id de municipio no coincide con la provincia
CBA263,AR-S,1695,Los Laureles,Santa Fe,General Obligado,El formato del id de municipio no coincide con la provincia
RNO052,AR-B,1238,General Arenales,Buenos Aires,General Arenales,El formato del id de municipio no coincide con la provincia
FOR002,AR-X,1398,Rincon,Cordoba,Rio Segundo,El formato del id de municipio no coincide con la provincia
CBA185,AR-W,1409,Bella Vista,Corrientes,Bella Vista,El formato del id de municipio no coincide con la provincia
CBA376,AR-B,1285,Olavarria,Buenos Aires,Olavarria,El formato del id de municipio no coincide con la provincia
CHU037,AR-B,1285,Olavarria,Buenos Aires,Olavarria,El formato del id de municipio no coincide con la provincia
SFE020,AR-N,1546,El Soberbio,Misiones,Guarani,El formato del id de municipio no coincide con la provincia
CBA011,AR-N,1546,El Soberbio,Misiones,Guarani,El formato del id de municipio no coincide con la provincia
BUE017,AR-U,1372,Cushamen,Chubut,Cushamen,El formato del id de municipio no coincide con la provincia
CBA258,AR-L,1483,Intendente Alvear,La Pampa,Chapaleufu,El formato del id de municipio no coincide con la provincia
BUE002,AR-L,1483,Intendente Alvear,La Pampa,Chapaleufu,El formato del id de municipio no coincide con la provincia
CBA223,AR-J,1597,Zonda,San Juan,Zonda,El formato del id de municipio no coincide con la provincia
BUE015,AR-M,1529,San Rafael,Mendoza,San Rafael,El formato del id de municipio no coincide con la provincia
BUE098,AR-H,1351,Santa Sylvina,Chaco,Fray Justo Santa Maria de Oro,El formato del id de municipio no coincide con la provincia
BUE035,AR-K,1333,Belen,Catamarca,Belen,El formato del id de municipio no coincide con la provincia
CBA411,AR-K,1333,Belen,Catamarca,Belen,El formato del id de municipio no coincide con la provincia
BUE050,AR-S,1688,Cacique Ariacaiquin,Santa Fe,San Javier,El formato del id de municipio no coincide con la provincia
JUJ033,AR-W,1417,Villa Olivari,Corrientes,Ituzaingo,El formato del id de municipio no coincide con la provincia
ERI040,AR-T,1653,San Pedro de Colalao,Tucuman,Trancas,El formato del id de municipio no coincide con la provincia
SFE105,AR-X,1389,Villa San Isidro,Cordoba,Santa Maria,El formato del id de municipio no coincide con la provincia
BUE024,AR-N,1543,San Ignacio,Misiones,San Ignacio,El formato del id de municipio no coincide con la provincia
ERI025,AR-N,1543,San Ignacio,Misiones,San Ignacio,El formato del id de municipio no coincide con la provincia
ERI048,AR-Y,1460,Aguas Calientes,Jujuy,El Carmen,El formato del id de municipio no coincide con la provincia
BUE105,AR-X,1383,Salsipuedes,Cordoba,Colon,El formato del id de municipio no coincide con la provincia
LAP072,AR-N,1539,Campo Viera,Misiones,Obera,El formato del id de municipio no coincide con la provincia
BUE004,AR-K,1337,Fiambala,Catamarca,Tinogasta,El formato del id de municipio no coincide con la provincia
CBA083,AR-T,1648,El Mollar,Tucuman,Tafi del Valle,El formato del id de municipio no coincide con la provincia
CBA359,AR-A,1679,Seclantas,Salta,Molinos,El formato del id de municipio no coincide con la provincia
NEU046,AR-W,1414,Chavarria,Corrientes,San Roque,El formato del id de municipio no coincide con la provincia
FOR008,AR-S,1701,Esteban Rams,Santa Fe,Nueve de Julio,El formato del id de municipio no coincide con la provincia
BUE121,AR-X,1385,Los Cisnes,Cordoba,Juarez Celman,El formato del id de municipio no coincide con la provincia
SGO082,AR-E,1445,Gualeguay,Entre Rios,Gualeguay,El formato del id de municipio no coincide con la provincia
SGO050,AR-H,1358,Miraflores,Chaco,General Guemes,El formato del id de municipio no coincide con la provincia
COR057,AR-Y,1459,Puesto del Marques,Jujuy,Cochinoca,El formato del id de municipio no coincide con la provincia
CBA042,AR-Y,1469,Huacalera,Jujuy,Tilcara,El formato del id de municipio no coincide con la provincia
BUE086,AR-S,1693,San Genaro,Santa Fe,San Jeronimo,El formato del id de municipio no coincide con la provincia
CBA148,AR-Q,1556,Villa el Chocon,Neuquen,Confluencia,El formato del id de municipio no coincide con la provincia
CBA038,AR-G,1616,Guardia Escolta,Santiago del Estero,Belgrano,El formato del id de municipio no coincide con la provincia
ERI015,AR-X,1385,General Deheza,Cordoba,Juarez Celman,El formato del id de municipio no coincide con la provincia
ERI044,AR-W,1423,Esquina,Corrientes,Esquina,El formato del id de municipio no coincide con la provincia
MZA006,AR-S,1689,Colonia Aldao,Santa Fe,Castellanos,El formato del id de municipio no coincide con la provincia
CBA311,AR-P,1453,Comandante Fontana,Formosa,Patino,El formato del id de municipio no coincide con la provincia
MZA004,AR-G,1634,Quimili,Santiago del Estero,Moreno,El formato del id de municipio no coincide con la provincia
SAL013,AR-R,1568,Aguada Guzman,Rio Negro,El Cuy,El formato del id de municipio no coincide con la provincia
SAL048,AR-S,1689,Presidente Roca,Santa Fe,Castellanos,El formato del id de municipio no coincide con la provincia
BUE120,AR-G,1634,Las Tinajas,Santiago del Estero,Moreno,El formato del id de municipio no coincide con la provincia
BUE091,AR-X,1407,Laboulaye,Cordoba,Presidente Roque Saenz Pena,El formato del id de municipio no coincide con la provincia
CBA012,AR-U,1378,Las Plumas,Chubut,Martires,El formato del id de municipio no coincide con la provincia
,AR-W,1413,Carolina,Corrientes,Goya,El formato del id de municipio no coincide con la provincia
,AR-W,1413,Carolina,Corrientes,Goya,El formato del id de municipio no coincide con la provincia
,AR-S,1696,Lucio V. Lopez,Santa Fe,Iriondo,El formato del id de municipio no coincide con la provincia
,AR-Q,1552,Los Miches,Neuquen,Minas,El formato del id de municipio no coincide con la provincia
,AR-G,1634,Lilo Viejo - Patay,Santiago del Estero,Moreno,El formato del id de municipio no coincide con la provincia
,AR-R,1572,Prahuaniyeu,Rio Negro,Nueve de Julio,El formato del id de municipio no coincide con la provincia
,AR-S,1694,Sauce Viejo,Santa Fe,La Capital,El formato del id de municipio no coincide con la provincia
,AR-A,1662,El Quebrachal,Salta,Anta,El formato del id de municipio no coincide con la provincia
,AR-D,1599,Batavia,San Luis,Gobernador Dupuy,El formato del id de municipio no coincide con la provincia
,AR-E,1439,Maria Grande,Entre Rios,Parana,El formato del id de municipio no coincide con la provincia
,AR-U,1368,Aldea Epulef,Chubut,Languineo,El formato del id de municipio no coincide con la provincia
,AR-Y,1472,Purmamarca,Jujuy,Tumbaya,El formato del id de municipio no coincide con la provincia
,AR-B,1224,Coronel Dorrego,Buenos Aires,Coronel Dorrego,El formato del id de municipio no coincide con la provincia
,AR-H,1360,Las Palmas,Chaco,Bermejo,El formato del id de municipio no coincide con la provincia
,AR-X,1386,Inriville,Cordoba,Marcos Juarez,El formato del id de municipio no coincide con la provincia
,AR-Z,1607,Koluel Kayke,Santa Cruz,Deseado,El formato del id de municipio no coincide con la provincia
,AR-W,1429,Mburucuya,Corrientes,Mburucuya,El formato del id de municipio no coincide con la provincia
,AR-S,1683,Murphy,Santa Fe,General Lopez,El formato del id de municipio no coincide con la provincia
,AR-B,1242,General la Madrid,Buenos Aires,General La Madrid,El formato del id de municipio no coincide con la provincia
,AR-X,1393,Ticino,Cordoba,General San Martin,El formato del id de municipio no coincide con la provincia
,AR-E,1443,Sauce de Luna,Entre Rios,Federal,El formato del id de municipio no coincide con la provincia
